Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z2,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,AMS_PMF_1_iepox,AMS_PMF_2_moooa,AMS_PMF_3_loooa,AMS_PMF_4_bboa,AMS_PMF_5_arom,AMS_PMF_6_hc,cluster,Assigned_Option_2
1129_1334_blob_828,0.43532851,0.305394187,0.261617524,0.334294739,0.041398768,-0.161042638,-0.03500803,-0.003239994,0.067316936,0.276916987,-0.032473465,0.083624906,0.10950835,-0.042473447,NA,2a
1129_1334_blob_822,0.528999272,0.460839453,0.219443284,0.54812964,0.589797948,-0.474362285,-0.201440198,-0.135777015,0.308192782,0.319148878,0.62087022,0.229636513,0.602072249,0.020923827,NA,3
1129_1334_blob_821,0.801106038,0.522847561,0.686788758,0.903656069,0.432066533,-0.164359443,0.065377933,0.134963594,0.799876983,0.648516625,0.255186162,0.167897985,0.438340031,-0.010766525,NA,2a
1129_1334_blob_820,0.319241481,0.691771533,0.193975298,0.437871879,0.400219929,-0.41365157,-0.279432053,0.072086639,0.2152213,0.256493784,0.237863781,0.513647464,0.515372161,0.198892364,NA,2b
1129_1334_blob_812,0.826616732,0.209670353,0.548473777,0.676879183,0.060365075,-0.145278596,0.117225386,-0.102032702,0.500494684,0.550424684,0.163990301,0.006611684,0.108457362,-0.098135102,NA,2a
1129_1334_blob_794,0.48026447,0.391101929,0.216595277,0.378803911,0.167397414,-0.209437086,-0.083452964,-0.015696026,0.178854979,0.246732547,0.09114363,0.169034602,0.278088978,0.003826589,NA,2a
1129_1334_blob_768,0.543494837,0.247828105,0.256588062,0.502209249,0.327486217,-0.248669033,0.026020278,-0.015847793,0.288542614,0.285364464,0.416350907,0.077216222,0.353383997,-0.018197236,NA,2a
1129_1334_blob_761,0.108844343,0.240522838,0.054089719,0.128010102,-0.093374631,-0.246418354,-0.172019896,0.106585782,0.064805003,0.080826667,-0.238573782,0.072744412,0.128148062,-0.005399377,NA,2b
1129_1334_blob_743,0.469045148,0.266455018,0.28855967,0.347841793,0.051120661,-0.138200461,-0.036184892,-0.04972403,0.103944159,0.302836494,0.01804438,0.121427449,0.157526318,-0.017729629,NA,2a
1129_1334_blob_725,0.763538375,0.221074008,0.664388004,0.660463781,0.041592761,-0.125639759,0.086870556,-0.051339187,0.551400929,0.535004752,0.058210426,0.001602823,0.110500944,-0.079315112,NA,2a
1129_1334_blob_721,0.47722342,0.37934397,0.311892844,0.454167459,0.19714977,-0.30171631,-0.113145928,-0.072781591,0.248176718,0.280750814,0.274773864,0.250075792,0.369045749,0.025364892,NA,2a
1129_1334_blob_718,0.469045148,0.266455018,0.28855967,0.347841793,0.051120661,-0.138200461,-0.036184892,-0.04972403,0.103944159,0.302836494,0.01804438,0.121427449,0.157526318,-0.017729629,NA,2a
1129_1334_blob_717,0.542264873,0.301203303,0.533226936,0.498031521,0.084596912,0.03806977,0.322921985,-0.01557374,0.338555826,0.588311907,-0.129276781,0.046623777,0.092934727,0.085727164,NA,2a
1129_1334_blob_686,0.768643538,0.201394885,0.542483746,0.639864169,0.068980851,-0.09939137,0.28627854,-0.095259354,0.478422418,0.577360133,0.113142161,0.001262658,0.083660265,-0.090479251,NA,2a
1129_1334_blob_675,0.80044537,0.208665783,0.613328278,0.640230491,0.014222842,-0.117541422,0.135904421,-0.104524236,0.463750591,0.558898487,0.067345999,0.006448759,0.073227112,-0.096888698,NA,2a
1129_1334_blob_672,0.212852833,0.469053862,0.158560739,0.319611534,0.113975993,-0.184743064,-0.093379305,0.139676874,0.206353853,0.230835611,-0.044842267,0.243459462,0.31690848,0.1214818,NA,2b
1129_1334_blob_667,0.469045148,0.266455018,0.28855967,0.347841793,0.051120661,-0.138200461,-0.036184892,-0.04972403,0.103944159,0.302836494,0.01804438,0.121427449,0.157526318,-0.017729629,NA,2a
1129_1334_blob_662,0.666823331,0.656289063,0.454491352,0.692402459,0.341280026,-0.324184796,-0.111507243,0.044689821,0.452738588,0.501562319,0.21754406,0.358735908,0.485811324,0.057693893,NA,2a
1129_1334_blob_660,0.152236874,0.542608309,0.057079518,0.316126523,0.294848513,-0.266313785,-0.247442568,0.051503157,0.221804634,0.182336667,0.200232965,0.420730765,0.416332859,0.194388365,NA,2b
1129_1334_blob_658,0.366768726,0.722485646,0.21700645,0.533849491,0.323715987,-0.25447134,-0.155960375,0.191984332,0.374500896,0.336750241,0.145176757,0.511922019,0.571073689,0.184388377,NA,2b
1129_1334_blob_651,0.701693189,0.294759354,0.416803143,0.537291822,-0.006656183,-0.144395869,0.10662521,-0.10631304,0.276574895,0.506563011,0.03944368,0.096513463,0.108700406,-0.051189595,NA,2a
1129_1334_blob_635,0.544569757,0.287195795,0.600451836,0.592788525,0.288255917,-0.183739049,-0.124906155,0.074891039,0.570287362,0.374059853,0.177135151,0.072133623,0.271877993,-0.018001832,NA,1
1129_1334_blob_627,0.130696639,0.672788755,0.041132522,0.360668387,0.307841782,-0.378069081,-0.295540739,0.065272103,0.284651672,0.139835619,0.186487715,0.623302571,0.551982426,0.117000219,2,2b
1129_1334_blob_625,0.282943888,0.754483678,0.174957046,0.507471086,0.370735173,-0.31424832,-0.179255043,0.17675204,0.336632708,0.295129141,0.265604308,0.688449906,0.555840924,0.153609756,NA,2b
1129_1334_blob_623,0.808076807,0.231127223,0.670727089,0.669699534,0.033475924,-0.089343789,0.116213451,-0.073523822,0.514452611,0.587892742,0.045063055,0.003477911,0.088639476,-0.031526281,NA,2a
1129_1334_blob_601,0.794803666,0.183193744,0.618874485,0.632250567,0.002446518,-0.064188706,0.18817416,-0.109575494,0.468749962,0.588077716,0.049763902,-0.01847679,0.0327118,-0.054558325,NA,2a
1129_1334_blob_594,0.728571073,0.197940483,0.368911765,0.583389701,0.279785696,-0.214009456,0.164706877,-0.129137106,0.307627745,0.490458307,0.393133546,0.00282369,0.268647187,-0.06343079,1,1
1129_1334_blob_584,0.365259811,0.467134201,0.248659554,0.384048021,0.077049145,-0.200203861,-0.090332413,0.073470578,0.191855382,0.305497838,-0.056608383,0.230845652,0.298948586,0.082984116,NA,2b
1129_1334_blob_1992,0.177614253,0.025545046,0.194380879,0.156103862,-0.001180859,0.089694361,0.48582361,-0.053633892,0.107224514,0.284888304,-0.09778961,-0.049874298,-0.073970991,-0.043899747,NA,5
1129_1334_blob_1939,-0.037898195,0.331094933,0.00573298,0.1601291,0.376750513,-0.032766926,-0.073773592,0.210806797,0.123007247,0.114950759,0.16946053,0.249369634,0.1962762,0.093477079,NA,3
1129_1334_blob_1914,0.443619773,0.505450284,0.262134203,0.530331883,0.26318201,-0.140041969,-0.01224042,0.142990494,0.433733235,0.358922386,0.115387504,0.228467182,0.458707961,0.103359991,NA,2b
1129_1334_blob_1840,-0.047597503,0.070024477,-0.038173329,0.005401654,0.126088549,0.041172275,-0.05157228,-0.018534807,0.090569729,0.097597831,-0.169519295,0.049755953,-0.013555486,-0.03672632,NA,3
1129_1334_blob_1771,0.350005054,0.265965235,0.161659987,0.265951881,0.318494457,-0.255445099,-0.175351473,-0.075141366,0.043316482,0.291318062,0.140893084,0.119837404,0.315774733,0.047485007,NA,2a
