Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,cluster_vol.z7,cluster_vol.z8,cluster_vol.z9,cluster_vol.z10,cluster_vol.z11,cluster_vol.z12,cluster_vol.z13,AMS_PMF_1,AMS_PMF_2,AMS_PMF_3,AMS_PMF_4,AMS_PMF_5,AMS_PMF_6,cluster,max_corr,assigned_cluster
1128_1901_blob_1295,0.177614253,0.025545046,0.194380879,0.013620069,0.089694361,-0.056840427,-0.03817778,0.48582361,0.153462273,-0.081846529,0.042286028,0.166659479,0.22583468,0.039732553,0.107224514,0.284888304,-0.09778961,-0.049874298,-0.073970991,-0.043899747,NA,cluster_vol.z7,7
1128_1901_blob_1306,-0.256959449,-0.331248701,-0.23202735,-0.259933751,0.12629671,-0.153645112,-0.168037412,0.161257257,-0.376524401,0.133729231,-0.340502065,-0.310156281,-0.352837768,-0.323075582,-0.318564053,-0.297756504,-0.389230722,-0.297458212,-0.359815366,-0.198408169,NA,cluster_vol.z7,7
1128_1901_blob_1331,-0.101591251,-0.281172281,0.006732811,-0.138039152,0.151322923,0.082734349,-0.181870612,0.459732821,-0.048861013,0.013154577,-0.278954822,-0.102748644,0.038975483,-0.018837578,-0.119212244,-0.108404658,-0.118545016,-0.384681291,-0.429564031,-0.253831566,NA,cluster_vol.z7,7
1128_1901_blob_1515,0.163119045,0.040744515,0.181646645,0.03736487,0.097036524,-0.062928017,-0.005048058,0.463852911,0.133852933,-0.081789371,0.057576344,0.157885272,0.223459491,0.046051639,0.125309329,0.300773411,-0.133828369,-0.037624635,-0.075445322,-0.051224265,NA,cluster_vol.z7,7
1128_1901_blob_1624,-0.073115848,-0.122813158,-0.06902396,-0.120719332,0.199435295,0.015412138,0.010842723,0.340755155,-0.065355837,0.079835503,-0.127099228,-0.09471238,-0.109692162,-0.126234929,-0.10761623,-0.113810257,-0.098417516,-0.055422945,-0.132258218,-0.007353167,NA,cluster_vol.z7,7
1128_1901_blob_1873,-0.13804646,-0.07205324,-0.126235565,-0.205958775,0.503325426,-0.077604395,-0.216587473,0.548102671,0.020951144,0.278381818,-0.091272583,-0.167030405,-0.126012801,-0.250834897,-0.13751354,-0.175212034,-0.04882743,0.103304302,-0.199970069,0.441684975,NA,cluster_vol.z7,7
1128_1901_blob_765,0.016398655,-0.015996719,0.122165642,0.132326095,0.493914395,-0.1421233,0.011991025,0.602846905,0.173844752,0.121382171,-0.033364387,0.001941828,0.058774379,0.056497398,-0.037623565,0.188155704,-0.107379102,-0.159868969,-0.156460551,0.101807966,NA,cluster_vol.z7,7
1128_1901_blob_912,0.123121686,-0.355418743,0.094513958,0.004308162,0.054072726,-0.082818173,-0.236506517,0.455386861,-0.13741392,-0.084511217,-0.337131524,0.067364679,0.158875132,0.107965305,-0.08926377,0.007191096,-0.057791846,-0.50053168,-0.348958628,-0.342586833,NA,cluster_vol.z7,7
1128_1901_blob_943,-0.117996177,-0.098103456,-0.074335715,-0.248874546,0.277829606,-0.174465251,-0.2260422,0.296783924,-0.102754788,0.122505093,-0.111406241,-0.154270654,-0.169737553,-0.220201091,-0.165630785,-0.169365698,-0.193903468,0.092792606,-0.187042569,0.459910458,NA,cluster_vol.z7,7
1128_1901_blob_993,-0.024468308,-0.094678749,-0.055316618,0.027195879,0.112653315,0.036010132,0.064497942,0.273441392,-0.037165104,0.017009608,-0.089614172,-0.014964743,-0.053760701,0.004118558,-0.05645355,-0.075607879,0.054286084,-0.073950197,-0.044488371,-0.032255402,NA,cluster_vol.z7,7
1128_1901_fb_add_blob_607,-0.006708607,-0.001464282,0.229367343,0.212178244,0.46457683,-0.122313319,0.074100576,0.487745971,0.104967899,0.246844458,-0.003111117,0.011512225,0.005127602,0.076800704,-0.026911767,0.106887705,0.002849624,-0.04450342,-0.161066035,0.121707719,NA,cluster_vol.z7,7
1128_2052_blob_1349,-0.154988547,-0.166154808,-0.133000413,-0.134443175,-0.057736572,-0.19492422,-0.137052264,-0.004064205,-0.228998091,-0.09945455,-0.177194493,-0.191746487,-0.193306738,-0.144314327,-0.178262321,-0.26537871,-0.122139212,-0.122825388,-0.1822118,-0.01978168,NA,cluster_vol.z7,7
1128_2052_blob_1467,-0.073115848,-0.131381576,-0.075928288,-0.165022193,0.033965945,-0.170177263,-0.195866592,0.05096091,-0.142588051,0.026958866,-0.135858127,-0.094877468,-0.126187162,-0.126234929,-0.150216638,-0.154358016,-0.154264888,-0.014534989,-0.073392346,0.15984377,NA,cluster_vol.z7,7
1128_2052_blob_961,-0.073115848,-0.122813158,-0.06902396,-0.120719332,0.199435295,0.015412138,0.010842723,0.340755155,-0.065355837,0.079835503,-0.127099228,-0.09471238,-0.109692162,-0.126234929,-0.10761623,-0.113810257,-0.098417516,-0.055422945,-0.132258218,-0.007353167,NA,cluster_vol.z7,7
1129_1334_blob_1440,0.177614253,0.025545046,0.194380879,0.013620069,0.089694361,-0.056840427,-0.03817778,0.48582361,0.153462273,-0.081846529,0.042286028,0.166659479,0.22583468,0.039732553,0.107224514,0.284888304,-0.09778961,-0.049874298,-0.073970991,-0.043899747,NA,cluster_vol.z7,7
1129_1334_blob_1577,0.035416522,-0.331872816,-0.102121752,-0.245605491,0.064465174,0.206518311,-0.403796696,0.296823783,-0.079796241,-0.166168315,-0.3255862,-0.063226113,0.091033308,-0.055100278,-0.134341045,-0.176735067,-0.052255177,-0.446370446,-0.429270726,-0.26769891,NA,cluster_vol.z7,7
1129_1334_blob_1992,0.177614253,0.025545046,0.194380879,0.013620069,0.089694361,-0.056840427,-0.03817778,0.48582361,0.153462273,-0.081846529,0.042286028,0.166659479,0.22583468,0.039732553,0.107224514,0.284888304,-0.09778961,-0.049874298,-0.073970991,-0.043899747,NA,cluster_vol.z7,7
1202_0046_blob_1078,0.191039295,0.119685463,0.116736418,0.15345937,0.104346171,-0.080723864,0.085805434,0.177059321,0.102734438,-0.158702738,0.120289185,0.150911331,0.129629319,0.114196238,0.143611047,0.340065078,-0.035235812,-0.023276702,0.046077954,-0.023996454,NA,cluster_vol.z7,7
