PMF_factor_1,PMF_factor_2,PMF_factor_3,PMF_factor_4,PMF_factor_5,PMF_factor_6,PMF_total,time_start,time_end,time_start_num
1.2893987,2.9056029,2.5381975,0.2473409,0.4201223,0.069843508,7.470505826,04:01.3,07:01.5,41876.54
1.3559893,3.1631773,2.7687285,0.18417402,0.54627931,0.10792676,8.126275167,12:01.6,15:01.3,41876.55
1.2424301,3.2990487,3.1541104,0.32643211,0.6140216,0.12119704,8.757239938,20:01.2,23:01.4,41876.56
1.1709969,3.0237417,3.7950678,0.43653059,0.65806562,0.16732572,9.251728341,28:01.2,31:01.4,41876.56
1.1892359,3.0904658,4.2878771,0.33783498,0.70421773,0.13361506,9.74324657,36:01.5,39:01.3,41876.57
1.0796539,3.0376687,4.13516,0.85750169,0.53728485,0.045946799,9.693215869,44:01.2,47:01.4,41876.57
1.0581095,3.2644501,3.9848485,0.64220613,0.63160056,0.0511427,9.632357486,52:02.0,55:02.2,41876.58
1.2039791,3.4230058,4.1510086,0.19689386,0.77607131,0.12232772,9.873286448,00:01.5,03:01.3,41876.58
1.1418085,3.1255157,4.6021914,0.28295672,0.74180287,0.16530401,10.05957925,08:01.4,11:01.3,41876.59
1.0569214,3.1767156,4.0768971,0.98611945,0.54395282,0.039602187,9.880208578,16:01.6,19:01.4,41876.59
1.2313217,3.3806243,4.2846675,0.44276398,0.74962938,0.12621285,10.21521969,24:01.5,27:01.4,41876.60
1.1193049,3.4294598,4.2323871,0.70570141,0.65173715,0.079584911,10.21817525,32:01.7,35:01.5,41876.61
1.2148819,3.2544558,4.6475043,0.97358668,1.0879797,0.254897,11.43330538,40:01.6,43:01.4,41876.61
1.1269913,3.4059956,4.1152344,0.69003713,0.61538345,0.024946444,9.978588276,48:01.6,51:01.4,41876.62
1.1924427,3.4448841,3.9139643,0.42188773,0.67702442,0.089639232,9.73984237,56:01.5,59:01.4,41876.62
1.2443533,3.3480899,3.7993629,0.36472318,0.66132385,0.121719,9.539572142,04:01.5,07:01.5,41876.63
1.3313283,2.8441629,3.76915,0.42985383,0.65257603,0.17808942,9.205160514,28:04.9,31:04.4,41876.73
1.1226493,2.5382414,4.0618887,1.5122286,0.67178643,0.17012785,10.07692228,36:01.3,39:01.3,41876.73
1.2624254,2.8106441,3.9444542,1.0465209,0.69816703,0.18471071,9.946922451,44:01.5,47:01.0,41876.74
1.2462195,3.1076441,3.4865713,0.98609263,0.74191827,0.19636615,9.764811948,52:01.6,55:01.1,41876.74
0.74282861,1.0157449,1.6087242,0.04100633,0.32574958,0.60389704,4.33795071,00:01.8,03:01.5,41876.75
0.64975154,1.1015092,2.17857,0.58113998,0.30045372,0.44527131,5.256695807,08:01.3,11:01.4,41876.76
1.1086404,0.92837673,1.3464998,0.76306051,0.33394757,2.3899672,6.87049225,16:01.2,19:01.3,41876.76
1.3421456,2.8559759,3.7476301,1.0223806,0.91940725,0.33944628,10.22698566,56:01.2,59:01.4,41876.79
1.2701633,2.7704844,3.7504914,1.1808716,0.96298182,0.41888443,10.35387698,04:01.5,07:01.6,41876.79
1.2083877,2.8758659,3.7841201,0.87382191,0.68720698,0.33706656,9.76646921,12:01.6,15:01.1,41876.80
1.4004794,2.7882113,3.7175145,0.99823081,1.1179279,0.45107913,10.47344315,20:01.2,23:01.4,41876.81
1.3505245,2.969063,3.7273486,1.3616693,1.5612857,0.64737684,11.61726803,28:01.4,31:01.6,41876.81
1.5647601,3.2991385,3.7202144,0.38726044,1.6405042,0.67326885,11.28514653,36:01.6,39:01.2,41876.82
1.3594877,3.0159657,3.7187457,0.96015853,1.057562,0.46765557,10.57957515,44:01.5,47:01.6,41876.82
1.4411927,3.0352385,3.7204344,0.58793128,1.1383998,0.5377596,10.46095639,52:01.4,55:01.6,41876.83
1.1691514,2.58622,3.8143387,1.8061558,1.1498226,0.52364653,11.04933506,00:01.6,03:01.3,41876.83
1.7075971,2.4560513,4.4806156,2.0062699,3.7327044,0.9406423,15.32388073,08:01.5,11:01.2,41876.84
1.3883768,2.7281656,3.8263314,1.7878513,2.2442701,0.88809985,12.8630951,16:01.6,19:01.3,41876.84
1.31309,2.7795715,3.6855943,1.054073,1.2289877,0.67137283,10.73268932,24:01.4,27:01.6,41876.85
1.3214083,2.8017514,3.8357129,1.0094295,1.4014646,0.69113159,11.06089818,32:01.3,35:01.6,41876.86
1.3644496,2.799063,3.90676,0.31481501,1.1584769,0.66937399,10.21293852,40:01.5,43:01.2,41876.86
1.3500322,2.7694259,3.7289658,0.31720272,0.93837702,0.86181587,9.965819448,48:01.4,51:01.2,41876.87
1.0522294,2.3696599,3.7065759,1.2026839,0.65235913,0.40398586,9.387494087,56:01.4,59:01.6,41876.87
1.0694469,2.3644428,3.8787215,1.3626323,0.62876141,0.34237599,9.646380901,04:01.3,07:01.6,41876.88
1.2725105,2.4947643,3.91309,0.75759685,0.82899827,0.38419673,9.651156694,12:01.2,15:01.6,41876.88
1.0099176,2.3109958,3.7800543,1.4584399,0.57547516,0.29053128,9.425414145,20:01.6,23:01.5,41876.89
1.3268603,2.4370859,4.0269799,0.64582402,0.77772892,0.37589929,9.590378314,28:01.3,31:01.2,41876.89
1.4067529,2.8022814,3.9433057,0.033155087,0.94600838,0.4203513,9.551854823,36:01.2,39:01.6,41876.90
1.2533252,2.4164901,4.1195984,0.8352018,0.72870946,0.33940402,9.692728966,44:01.6,47:01.6,41876.91
1.5079956,2.7135601,4.1097183,0.230441,1.0651983,0.5304637,10.15737703,52:01.6,55:01.6,41876.91
1.2210602,2.6809373,3.9372215,0.96464455,0.88771528,0.41200629,10.10358509,00:01.6,03:01.5,41876.92
1.0975285,2.2036486,4.0123773,1.5176928,0.61494058,0.28851971,9.734707385,16:01.6,19:01.6,41876.93
0.96812421,2.2678714,3.8317728,1.7590915,0.5903793,0.26010159,9.677340776,24:01.7,27:01.2,41876.93
1.1051364,2.5068014,3.6407731,1.2739836,0.69265699,0.35263044,9.571981847,32:01.6,35:01.6,41876.94
1.2919931,2.5929215,3.683013,0.86421174,0.80014485,0.387824,9.620108187,40:01.7,43:01.6,41876.94
1.1754357,2.5925457,3.5811043,1.2030931,0.87747937,0.39501685,9.824674964,48:01.6,51:01.6,41876.95
1.2284878,2.3119586,3.54038,1.51396,0.8665598,0.40542385,9.866770059,56:01.7,59:01.3,41876.96
1.2415593,2.6415529,3.6034029,0.84276134,1.0526557,0.64015782,10.0220899,04:01.7,07:01.3,41876.96
1.5353957,2.6408484,3.8042572,0.52949399,1.2325354,0.57751828,10.32004893,12:01.6,15:01.2,41876.97
1.3923013,2.6114187,3.5931001,0.45498487,1.0441006,0.4805356,9.576441228,20:01.5,23:01.6,41876.97
1.2009509,2.6595459,3.3716414,0.96875411,0.79786235,0.33854643,9.337301046,28:01.5,31:01.6,41876.98
1.2683921,2.7375758,3.426163,0.54424214,0.93191957,0.43464202,9.342934549,36:01.5,39:01.2,41876.98
1.2483388,2.5790401,3.3987072,0.80725157,0.96456802,0.43111801,9.429023623,44:01.5,47:01.2,41876.99
