"","Compound.Name","Rownum","sum_rawvol","sum_ISrawnormvol","sum_ISnormnormvol","n_occur","cumsum_raw","cumsum_ISrawnorm","num_pct","cumsum_ISnormnorm","raw_cumsum","ISrawnorm_cumsum"
"377","1213_2145_blob_670",377,23822.0333521279,0.0629140803275366,1777.14181270724,50,0.000258752925825141,0.000188877504862062,0.284528301886792,0.000280640663150301,0.934696130975973,0.935277201429909
"378","1128_1901_fb_add_blob_924",378,23773.9991854283,0.0812279336104451,922.659337439389,82,0.0002582311827401,0.00024385843908978,0.285283018867925,0.000145703469733996,0.934954362158714,0.935521059868999
"379","1206_0924_blob_184",379,23593.7462747999,0.14703919779205,1786.61614102509,43,0.000256273290761519,0.000441433724395175,0.286037735849057,0.000282136819373184,0.935210635449475,0.935962493593394
"380","1221_0832_blob_880",380,23591.9221249729,0.0307900562469198,877.291096195925,50,0.000256253476999281,9.24363666798349e-05,0.286792452830189,0.000138539059320888,0.935466888926474,0.936054929960074
"381","1129_1334_blob_907",381,23533.0558111778,0.0365582736000823,1024.86818943515,55,0.000255614076042114,0.000109753420278893,0.287547169811321,0.000161843971183469,0.935722503002517,0.936164683380353
"382","1128_1901_blob_843",382,23433.9664720648,0.0338254914020582,950.021672503545,65,0.000254537775961656,0.000101549198263613,0.288301886792453,0.000150024443897587,0.935977040778478,0.936266232578617
"383","1221_0832_blob_1113",383,23429.1453577578,0.121982098512096,816.118157706368,45,0.000254485409422904,0.000366208554346759,0.289056603773585,0.000128878820671498,0.936231526187901,0.936632441132964
"384","1202_1412_blob_1339",384,23426.1048133841,0.0124649079489811,428.129954429439,47,0.000254452383285245,3.74215231229943e-05,0.289811320754717,6.76089400780867e-05,0.936485978571186,0.936669862656087
"385","1221_0832_blob_968",385,23421.4438707767,0.0421613065941324,1220.8613972035,43,0.000254401756518045,0.000126574565657899,0.290566037735849,0.000192794604052365,0.936740380327704,0.936796437221744
"386","1206_0924_blob_75",386,23237.7401721584,0.593876304961501,4971.81517426465,27,0.000252406382370097,0.00178290573578859,0.291320754716981,0.00078513346407669,0.936992786710074,0.938579342957533
"387","1202_0046_blob_1222",387,23004.3166493574,0.0504518292243168,322.264542569463,38,0.00024987095566708,0.000151463957988511,0.292075471698113,5.08910061593501e-05,0.937242657665742,0.938730806915521
"388","1202_0046_blob_1087",388,22945.5940677562,0.0138065720013913,439.213870108197,31,0.000249233115916932,4.14493998282259e-05,0.292830188679245,6.93592772904277e-05,0.937491890781659,0.93877225631535
"389","1202_0046_blob_1086",389,22872.7518868571,0.0413908878706356,849.616574059931,44,0.000248441910264899,0.000124261653104215,0.293584905660377,0.00013416878555372,0.937740332691923,0.938896517968454
"390","1213_2145_blob_1254",390,22741.1242511956,0.112336787262679,604.589666462799,36,0.000247012181939722,0.000337251883392919,0.294339622641509,9.54749045443178e-05,0.937987344873863,0.939233769851847
"391","1221_0832_blob_1194",391,22727.473849684,0.0411027991069359,1131.32381083511,35,0.000246863912424789,0.000123396767428653,0.295094339622642,0.000178655109142263,0.938234208786288,0.939357166619275
"392","1221_0832_blob_899",392,22717.0664517212,0.0514445331132166,2244.50638926853,51,0.000246750868142075,0.000154444203946588,0.295849056603774,0.000354445411742263,0.93848095965443,0.939511610823222
"393","1213_2145_blob_639",393,22681.9364917681,0.0752801277965699,2332.15304135495,41,0.000246369289467088,0.00022600223399737,0.296603773584906,0.000368286296239244,0.938727328943897,0.939737613057219
"394","1216_0703_blob_648",394,22505.9975966594,0.0429415282738072,1529.12771531288,30,0.000244458255962816,0.000128916908156257,0.297358490566038,0.000241475054493924,0.93897178719986,0.939866529965376
"395","1221_0832_blob_1018",395,22480.2309902933,0.061750878883539,1363.61281438818,39,0.000244178381248208,0.000185385399672724,0.29811320754717,0.000215337460282462,0.939215965581108,0.940051915365049
"396","1128_1901_blob_917",396,22386.9494589811,0.0677707906257908,1933.84656000915,82,0.000243165165088373,0.000203458077576413,0.298867924528302,0.000305386985524325,0.939459130746196,0.940255373442625
"397","1202_0046_blob_1218",397,22349.209481915,0.012749319287857,302.341180869456,36,0.000242755236626681,3.82753686177023e-05,0.299622641509434,4.7744771345846e-05,0.939701885982823,0.940293648811243
"398","1128_1901_blob_1117",398,22263.9953340828,0.092389995881718,1330.39348203242,111,0.000241829647708751,0.000277368624090294,0.300377358490566,0.000210091567470155,0.939943715630532,0.940571017435333
"399","1129_1334_blob_822",399,21984.4385559475,0.0778467456805132,1099.21785535953,75,0.000238793125460314,0.000233707605820812,0.301132075471698,0.000173585037316079,0.940182508755992,0.940804725041154
"400","1202_1412_blob_1191",400,21934.7567950799,0.0850685195286224,445.654403752334,40,0.000238253486345776,0.000255388454018985,0.30188679245283,7.03763461703608e-05,0.940420762242338,0.941060113495173
"401","1213_2145_blob_804",401,21829.7531173908,0.140295443042056,1046.50490105697,7,0.000237112945216358,0.000421187961221821,0.302641509433962,0.000165260772844722,0.940657875187554,0.941481301456395
"402","1221_0832_blob_920",402,21810.8437899951,0.0227554560069485,639.324371174595,33,0.00023690755369009,6.83152917473339e-05,0.303396226415094,0.000100960100207909,0.940894782741244,0.941549616748142
