Compound.Name,Kovats (d-alkane),Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain
20200803_1535_blob_678_oil,2253.333333,Pentyl dotriacontyl ether,815,844,,C37H76O,536
20200803_1535_blob_855_,2018.320611,"4-Hydroxydiphenylamine, O-trimethylsilyl-",815,851,,C15H19NOSi,257
20200803_1535_blob_1164_,1601.265823,"1-Oxaspiro[2.5]octane, 5,5-dimethyl-4-(3-methyl-1,3-butadienyl)-",815,821,,C14H22O,206
20200803_0949_blob_1393_,1537.5,"Quinoline, 2,4,6-trimethyl-",814,832,1532,C12H13N,171
20200803_1535_blob_482_oil,2351.666667,Pentyl dotriacontyl ether,813,840,,C37H76O,536
20200803_1535_blob_647_oil,2303.333333,"Ethanol, 2-(octadecyloxy)-",813,823,,C20H42O2,314
20200803_1535_blob_691_oil,2189.312977,1-Dimethylthexylsilyloxyoctadecane,813,835,,C26H56OSi,412
20200803_1535_blob_815_,2100.763359,"Anthracene, 1,4-dimethyl-",813,874,,C16H14,206
20200803_1535_blob_1052_,1606.329114,"Fumaric acid, butyl isobutyl ester",813,842,,C12H20O4,228
20200803_1535_blob_11_,1970.833333,"Homosalate, TMS derivative",812,837,1998,C19H30O3Si,334
20200803_1535_blob_667_oil,2285,17-Pentatriacontene,812,812,,C35H70,490
20200803_1535_blob_1421_,1707.594937,ç?-Dodecalactone,812,860,1678,C12H22O2,198
20200803_1535_blob_638_oil,2479.279279,17-Pentatriacontene,810,811,,C35H70,490
20200803_1535_blob_684_oil,2263.333333,"Eicosane, 9-cyclohexyl-",810,817,,C26H52,364
20200803_1535_blob_698_,2169.465649,"Benzene, 1,1'-(1,3-butadiyne-1,4-diyl)bis-",810,862,,C16H10,202
20200803_1535_blob_642_oil,2473.873874,17-Pentatriacontene,808,809,,C35H70,490
20200803_1535_blob_680_oil,2246.666667,"1-Dodecanol, 2-octyl-",808,828,,C20H42O,298
20200803_1535_blob_704_,2326.666667,7H-Benzanthrene,808,903,,C17H12,216
20200803_1535_blob_934_,2041.221374,"2,6-Dimethyldibenzothiophene",808,903,,C14H12S,212
20200803_1535_blob_1064_,1830.555556,"Heptadecane, 2,6-dimethyl-",808,859,,C19H40,268
20200803_1535_blob_719_oil,2211.666667,"1-Dodecanol, 2-octyl-",807,832,,C20H42O,298
20200803_1535_blob_30_,1745.56962,"Phthalimide, N-(1-hydroxy-2-propyl)-",805,853,,C11H11NO3,205
20200803_1535_blob_644_oil,2296.666667,"Ethanol, 2-(octadecyloxy)-",804,816,,C20H42O2,314
20200803_1535_blob_774_,1407.909605,"Hexasiloxane, tetradecamethyl-",804,892,1353,C14H42O5Si6,458
20200803_1535_blob_1_,1660.759494,"Cyclooctasiloxane, hexadecamethyl-",803,845,1704,C16H48O8Si8,592
20200803_1535_blob_640_oil,2470.27027,17-Pentatriacontene,803,803,,C35H70,490
20200803_1535_blob_781_,2790.291262,"1,4-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",802,843,,C24H38O4,390
20200803_1535_blob_845_oil,2671.84466,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",802,839,,C30H52O2,444
20200803_1535_blob_650_oil,2488.288288,17-Pentatriacontene,801,802,,C35H70,490
20200803_1535_blob_925_,2119.083969,{4-Methoxy-2-[(trimethylsilyl)oxy]phenyl}(phenyl)methanone,801,823,,C17H20O3Si,300
20200803_1535_blob_1005_,2644.660194,"Benz[a]anthracene, 7-methyl-",801,868,2669,C19H14,242
20200803_1535_blob_649_oil,2493.693694,17-Pentatriacontene,800,801,,C35H70,490
20200803_1535_blob_788_,1951.388889,"Ethanol, 2-(9-octadecenyloxy)-, (Z)-",800,809,,C20H40O2,312
20200803_1535_blob_725_oil,2231.666667,17-Pentatriacontene,799,799,,C35H70,490
20200803_0949_blob_724_,2180,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",799,814,,C20H34O2,306
20200803_1535_blob_881_,2145.038168,2-{5-Methyl-2-[(trimethylsilyl)oxy]phenyl}-2H-benzotriazole,797,840,,C16H19N3OSi,297
20200803_1535_blob_1217_,1686.075949,"Benzothiazole, 2-butyl-",796,817,,C11H13NS,191
20200803_1535_blob_731_,2044.274809,"1H-Naphtho[2,1-b]pyran, 3-ethenyldodecahydro-3,4a,7,7,10a-pentamethyl-, [3R-(3?§,4a??,6a?§,10a??,10b?§)]-",795,880,1992,C20H34O,290
