"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat","Formula","Mass","inverse_slope"
"152","phthalic acid",2018-12-01,0.000420119202003904,0.961925581729947,42.57133954,1.107378735,1714,1714.634146,"Acid",NA,NA,2380.27682436355
"153","perylene",2018-12-01,0.000218247112169421,0.952932739663141,72.30911422,1.45655221,2967,2967.676768,"PAH",NA,NA,4581.96211651919
"154","pentadecanone",2018-12-01,0.000698155989593465,0.998093810589642,42.95210491,0.947756575,1726,1726.829268,"Ketone",NA,NA,1432.34465492776
"155","palmitoleic Acid",2018-12-01,0.000564513104720714,0.992081418712985,52.35700932,0.708323335,2056,2056.296296,"Acid",NA,NA,1771.4380616456
"156","p-anisic acid (4-methozybenzoic acid)",2018-12-01,0.00179611615993968,0.933212264504262,37.05024181,0.967709345,1544,1544.262295,"Acid",NA,NA,556.756863672773
"157","oleic Acid, TMS",2018-12-01,0.000268074269440885,0.989905366973386,57.26888247,0.69834695,2251,2251.612903,"Acid",NA,NA,3730.30952237853
"158","octadecanone",2018-12-01,0.000339889120455145,0.989324092858785,51.7097082,0.847992725,2031,2031.111111,"Ketone",NA,NA,2942.13594910276
"159","octadecanol",2018-12-01,0.000138885182934373,0.998570067122279,55.8219741,0.548701175,2191,2191.111111,"Alcohol",NA,NA,7200.19212180848
"160","octadecanal",2018-12-01,0.000968576209308563,0.933690595606541,52.35700932,0.867945495,2056,2056.296296,"Aldehyde",NA,NA,1032.44328158119
"161","monostearin TMS",2018-12-01,0.00429473453624861,0.946386130345638,68.92030251,0.708323335,2788,2788.679245,"Alcohol",NA,NA,232.843262269124
"162","monopalmitin",2018-12-01,0.000495602815248753,0.977373063260579,65.68379694,0.748228875,2628,2628.301887,"Alcohol",NA,NA,2017.74479327378
"163","mannosan",2018-12-01,0.00526863934154095,0.990801907838595,42.30480379,0.85796911,1706,1706.097561,"Sugar",NA,NA,189.802325643251
"164","maltol",2018-12-01,0.0129874670130602,0.956555276427959,28.33071505,1.09740235,1316,1316.427025,"Alcohol",NA,NA,76.9973081736722
"165","lupeol",2018-12-01,0.000270547192800548,0.975833538655067,81.21902366,1.03754404,3483,3483.516484,"Misc",NA,NA,3696.21281096499
"166","linoleic Acid, TMS",2018-12-01,0.000556869264885747,0.963491799806624,57.11657633,0.69834695,2245,2245.16129,"Acid",NA,NA,1795.75362307915
"167","levoglucosan",2018-12-01,0.00179680310821366,0.999456864801625,42.95210491,0.847992725,1726,1726.829268,"Sugar",NA,NA,556.544006089891
"168","ketopinic acid",2018-12-01,0.00327821279044273,0.982107415447626,36.55524684,1.326859205,1530,1530.054645,"Acid",NA,NA,305.044261591374
"169","isopimaric acid",2018-12-01,0.000268314964577442,0.992342867792705,60.42923497,0.867945495,2385,2385.483871,"Acid",NA,NA,3726.96320376636
"170","isoeugenol",2018-12-01,0.00796832891482435,0.947606565301477,38.68753286,0.77815803,1591,1591.256831,"Alcohol",NA,NA,125.496827589483
"171","ionone",2018-12-01,0.0302062115930351,0.993818759208452,33.73758317,1.33683559,1449,1449.180328,"Ketone",NA,NA,33.1057735234358
"172","hydroquinone",2018-12-01,0.00361780050059876,0.967714198241162,32.74759324,0.728276105,1420,1420.765027,"Benz",NA,NA,276.411040308745
"173","homosalate, TMS",2018-12-01,0.000289207291253556,0.968286992359757,52.31893278,0.927803805,2054,2054.814815,"Misc",NA,NA,3457.72748558843
"174","hexadecanol, TMS",2018-12-01,0.000243470788230941,0.997964311400589,50.60548866,0.528748405,1989,1989.261745,"Alcohol",NA,NA,4107.26891413135
"175","hexadecanamide",2018-12-01,0.000768799054168217,0.942064003252951,56.35504561,1.227095355,2212,2212.903226,"Amide",NA,NA,1300.73000815789
"176","glyceric acid",2018-12-01,0.014747832617099,0.893481069390243,29.92992957,0.688370565,1352,1352.613262,"Acid",NA,NA,67.8065737497304
"177","gamma dodecalactone",2018-12-01,0.000572674298759656,0.997360412815051,42.4190334,1.89551315,1709,1709.756098,"Sugar","C12H22O2",NA,1746.19325883121
"178","galactosan",2018-12-01,0.00648233296737314,0.980194064554994,41.61942614,0.83801634,1684,1684.146341,"Sugar","C15H34O5Si3",NA,154.265448108451
"179","erythreitol",2018-12-01,0.00119752949265614,0.99264039509702,36.51717031,0.53872479,1528,1528.961749,"Alcohol",NA,NA,835.052502783865
"180","ergosterol",2018-12-01,0.00186859461225112,0.8186372504281,78.05867117,0.83801634,3296,3296.551724,"Alcohol","C31H52OSi",NA,535.161555879308
