"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat"
"170","gamma dodecalactone",2020-12-01,0.0035973908574207,0.997590229392707,42.4190334,1.89551315,1709,1709.756098,"Sugar"
"171","galactosan",2020-12-01,13.6698838813576,0.914492641476398,41.61942614,0.83801634,1684,1684.146341,"Sugar"
"172","erythreitol",2020-12-01,15.3991945808125,0.970311470409361,36.51717031,0.53872479,1528,1528.961749,"Alcohol"
"173","eicosanol, TMS",2020-12-01,5.71607675270282,0.971947040781466,60.54346457,0.548701175,2390,2390.322581,"Alcohol"
"174","dodecyl benzene",2020-12-01,4.08749653150599,0.999337312100328,48.66358532,0.61853587,1920,1920.805369,"Benz"
"175","dibenz(ah)anthracene",2020-12-01,0.0141741174490584,0.936810891382032,77.79213542,1.51641052,3280,3280.45977,"PAH"
"176","cycloisolongifolene",2020-12-01,52.9068740380424,0.982411799050966,30.04415917,0.648465025,1355,1355.197993,"Sesq"
"177","citronellol",2020-12-01,35.061412575422,0.984469953403628,29.32070499,0.528748405,1338,1338.828029,"Alcohol"
"178","cis-Vaccenic Acid, TMS",2020-12-01,4.21990733212539,0.220133951492425,57.45926515,0.688370565,2259,2259.677419,"Acid"
"179","chrysene",2020-12-01,0.270180840097603,0.984200283282493,63.627664,1.29693005,2531,2531.578947,"PAH"
"180","cholesterol",2020-12-01,0.246544874597022,0.997711813200544,76.6117628,0.83801634,3209,3209.195402,"Alcohol"
"181","borneol",2020-12-01,3.92758033547184,0.953822565936491,25.77958713,0.61853587,1254,1254.323789,"Alcohol"
"182","bisabolol",2020-12-01,118.862384692389,0.928501248826437,44.3228602,0.55867756,1770,1770.731707,"Alcohol"
"183","beta-sitosterol",2020-12-01,0.572018732679279,0.981979819772955,79.8863449,0.867945495,3406,3406.593407,"Alcohol"
"184","beta-nocaryophyllonic acid, TMS",2020-12-01,0.0545176221581017,0.985799432747649,50.49125905,1.725914605,1985,1985.234899,"Acid"
"185","beta-nocaryophyllone aldehyde",2020-12-01,118.546317403191,0.927032230343232,43.90401831,0.269362395,1757,1757.317073,"Aldehyde"
"186","beta-nocaryophyllinic acid, TMS",2020-12-01,0.126322627551938,0.955356205766981,54.18468305,1.247048125,2127,2127.407407,"Acid"
"187","beta-caryophyllonic acid, TMS",2020-12-01,0.262343566054975,0.987040554080503,48.96819761,1.326859205,1931,1931.543624,"Acid"
"188","beta-caryophyllinic acid, TMS",2020-12-01,1.97631342555719,0.969806219850899,52.47123893,0.927803805,2060,2060.740741,"Acid"
"189","beta-caryophyllene aldehyde",2020-12-01,3.49967160285036,0.994890593967051,42.60941608,1.965347845,1715,1715.853659,"Aldehyde"
"190","benzophenone",2020-12-01,1.1411028061498,0.896355122127035,41.01020157,1.17721343,1664,1664.634146,"PAH"
"191","anthraquinone",2020-12-01,0.17201925389456,0.995174631608266,51.36701938,1.446575825,2017,2017.777778,"PAH"
"192","abietic acid",2020-12-01,1.10914458286058,0.979770271785494,62.2569087,0.83801634,2468,2468.421053,"Acid"
"193","a-Amyrin",2020-12-01,0.588901065213259,0.991921425837546,81.14287059,1.05749681,3479,3479.120879,"Sesq"
"194","SESQ9",2020-12-01,5.41945324635235,0.873379051902681,39.33483398,1.067473195,1610,1610.97561,"Sesq"
"195","SESQ8",2020-12-01,684.890031111958,0.860643714154865,37.92600214,0.49881925,1569,1569.398907,"Sesq"
"196","Me-OH-glutatric acid (?)",2020-12-01,4.80503790938611,0.832122357921912,39.71559934,0.828039955,1623,1623.170732,"Acid"
"197","MBTCA",2020-12-01,0.846029488590122,0.977291612671022,44.51324288,0.97768573,1776,1776.829268,"Acid"
"198","FAME18 (Methyl Stearate)",2020-12-01,1.87562048413379,0.997904207088172,55.06044338,0.71829972,2161,2161.481481,"Acid"
"199","FAME16 (Methyl Palmitate)",2020-12-01,1.64435481933817,0.998494338431774,49.69165179,0.728276105,1957,1957.04698,"Acid"
"200","DEET",2020-12-01,0.0130364796370241,0.961159217067099,38.99214515,1.785772915,1600,1600,"Amide"
"201","C9 Diacid (azelaic acid)",2020-12-01,0.720455366692126,0.993252850900328,45.88399818,0.947756575,1822,1822.818792,"Acid"
"202","C8 acid",2020-12-01,2.57430095463736,0.960164354359003,27.34072511,0.71829972,1293,1293.392792,"Acid"
"203","C28 acid",2020-12-01,1.07289496048458,0.987847568589329,77.9825181,0.73825249,3291,3291.954023,"Acid"
"204","C26 acid",2020-12-01,1.11085693593758,0.972628643660181,74.47947678,0.71829972,3088,3088.172043,"Acid"
"205","C24 acid",2020-12-01,1.02475352865784,0.942912362071397,70.78605278,0.69834695,2886,2886.868687,"Acid"
"206","C22 acid",2020-12-01,1.54902710019762,0.965355415457773,66.82609303,0.688370565,2684,2684.90566,"Acid"
"207","C17 acid",2020-12-01,5.22200196939057,0.984672768531669,55.47928528,0.668417795,2177,2177.777778,"Acid"
"208","C16 Acid",2020-12-01,0.833189674556757,0.519094607952496,52.92815736,0.688370565,2078,2078.518519,"Acid"
"209","C14 Diacid",2020-12-01,1.26048245948043,0.980906539026913,58.83002045,0.887898265,2317,2317.741935,"Acid"
"210","C13 acid",2020-12-01,1.53406957145339,0.995999219920371,44.51324288,0.688370565,1776,1776.829268,"Acid"
"211","C12 diacid",2020-12-01,1.20388109838253,0.99505052049405,53.99430037,0.907851035,2120,2120,"Acid"
"212","C10 diacid (sebacic acid)",2020-12-01,0.754002202229643,0.969478283538025,48.70166185,0.93778019,1922,1922.147651,"Acid"
"213","C35",2020-12-01,1.24838594294771,0.99546765838764,82.6278555,0.71829972,3564,3564.835165,"Alkane"
"214","C33",2020-12-01,1.32918145116819,0.979454529697408,79.16289072,0.63848864,3363,3363.218391,"Alkane"
"215","C32",2020-12-01,1.3706504321259,0.982247479897596,77.44944659,0.628512255,3259,3259.770115,"Alkane"
"216","C31",2020-12-01,1.37271275079191,0.980872042866452,75.73600247,0.61853587,3159,3159.139785,"Alkane"
"217","C30",2020-12-01,1.61838112722448,0.974066738086412,73.94640527,0.5985831,3058,3058.064516,"Alkane"
"218","C29",2020-12-01,1.98197210334608,0.974692225977772,72.08065501,0.588606715,2955,2955.555556,"Alkane"
"219","C28",2020-12-01,1.87475791015562,0.975199309365059,70.13875167,0.57863033,2852,2852.525253,"Alkane"
"220","C27",2020-12-01,2.52351863746684,0.973496718028173,68.15877179,0.568653945,2750,2750.943396,"Alkane"
"221","C26",2020-12-01,5.55242206020369,0.996288856354942,66.10263884,0.568653945,2649,2649.056604,"Alkane"
"222","C25",2020-12-01,5.21307972761604,0.990969018840612,63.93227628,0.55867756,2545,2545.614035,"Alkane"
"223","C24",2020-12-01,5.98518935885196,0.997980127336184,61.72383719,0.548701175,2443,2443.859649,"Alkane"
