Compound Name,BlobID,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Quantifier_1,Quantifier_2,Quantifier_Response_1,Quantifier_Response_2,Volume_Ratio,Cal_pt_1,Cal_pt_2,Cal_pt_3,Cal_pt_4,Cal_pt_5,Cal_pt_6,H_Cat
C28 acid,110,C28 acid,,,TRUE,3291.954023,3292,48,amze_unnamedsesq_1,0,999,999,96.66000366,,0,77.9825181,0.73825249,,,0,0,0,0,1.5,3,7.5,15,30,
C26 acid,108,C26 acid,,,TRUE,3088.172043,3088,47,amze_unnamedsesq_1,0,999,999,96.44999695,,0,74.47947678,0.71829972,,,0,0,0,0,1.5,3,7.5,15,30,
C24 acid,87,C24 acid,,,TRUE,2886.868687,2887,46,amze_unnamedsesq_1,0,999,999,98.87000275,,0,70.78605278,0.69834695,,,0,0,0,0,1.5,3,7.5,15,30,
C22 acid,76,C22 acid,,,TRUE,2684.90566,2685,45,amze_unnamedsesq_1,0,999,999,98.91999817,,0,66.82609303,0.688370565,,,0,0,0,0,1.5,3,7.5,15,30,
C18 Acid,1,C18 Acid,,,TRUE,2280.645161,2281,44,amze_unnamedsesq_1,0,999,999,96.62999725,,0,57.95426012,0.69834695,,,0,0,0,0,1.5,3,7.5,15,30,
C17 acid,88,C17 acid,,,TRUE,2177.777778,2178,43,amze_unnamedsesq_1,0,999,999,98.88999939,,0,55.47928528,0.668417795,,,0,0,0,0,1.5,3,7.5,15,30,
C16 Acid,2,C16 Acid,,,TRUE,2078.518519,2079,42,amze_unnamedsesq_1,0,999,999,93.48999786,,0,52.92815736,0.688370565,,,0,0,0,0,1.5,3,7.5,15,30,POAOX
C14 Diacid,54,C14 Diacid,,,TRUE,2317.741935,2318,41,amze_unnamedsesq_1,0,999,999,97.19999695,,0,58.83002045,0.887898265,,,0,0,0,0,2,4,10,20,40,
C13 acid,21,C13 acid,,,TRUE,1776.829268,1777,40,amze_unnamedsesq_1,0,999,999,98.83999634,,0,44.51324288,0.688370565,,,0,0,0,0,1.5,3,7.5,15,30,
C12 diacid,24,C12 diacid,,,TRUE,2120,2120,39,amze_unnamedsesq_1,0,999,999,98.94999695,,0,53.99430037,0.907851035,,,0,0,0,0,2,4,10,20,40,
C10 diacid (sebacic acid),12,C10 diacid (sebacic acid),,,TRUE,1922.147651,1922,38,amze_unnamedsesq_1,0,999,999,98.72000122,,0,48.70166185,0.93778019,,,0,0,0,0,2,4,10,20,40,
C10 carboxylic acid,680,C10 carboxylic acid,,,TRUE,1479.781421,1480,62,amze_unnamedsesq_1,0,999,999,93.33000183,,0,34.80372618,0.688370565,,,0,0,0,0,1.5,3,7.5,15,30,
C35,102,C35,amze,,TRUE,3564.835165,3565,61,amze_unnamedsesq_1,0,999,999,86.76999664,,0,82.6278555,0.71829972,,,0,0,0,0,2,4,10,20,40,
C33,80,C33,,,TRUE,3363.218391,3363,60,amze_unnamedsesq_1,0,999,999,87.33999634,,0,79.16289072,0.63848864,,,0,0,0,0,2,4,10,20,40,
C32,77,C32,,,TRUE,3259.770115,3260,59,amze_unnamedsesq_1,0,999,999,85.65000153,,0,77.44944659,0.628512255,,,0,0,0,0,2,4,10,20,40,
C31,57,C31,,,TRUE,3159.139785,3159,58,amze_unnamedsesq_1,0,999,999,86.20999908,,0,75.73600247,0.61853587,,,0,0,0,0,2,4,10,20,40,
C30,67,C30,,,TRUE,3058.064516,3058,57,amze_unnamedsesq_1,0,999,999,87.33000183,,0,73.94640527,0.5985831,,,0,0,0,0,2,4,10,20,40,
C29,52,C29,,,TRUE,2955.555556,2956,56,amze_unnamedsesq_1,0,999,999,89,,0,72.08065501,0.588606715,,,0,0,0,0,2,4,10,20,40,
C28,48,C28,,,TRUE,2852.525253,2853,55,amze_unnamedsesq_1,0,999,999,88.30999756,,0,70.13875167,0.57863033,,,0,0,0,0,2,4,10,20,40,
C27,47,C27,,,TRUE,2750.943396,2751,54,amze_unnamedsesq_1,0,999,999,83.84999847,,0,68.15877179,0.568653945,,,0,0,0,0,2,4,10,20,40,
C26,32,C26,,,TRUE,2649.056604,2649,53,amze_unnamedsesq_1,0,999,999,86.37999725,,0,66.10263884,0.568653945,,,0,0,0,0,2,4,10,20,40,
C25,46,C25,,,TRUE,2545.614035,2546,52,amze_unnamedsesq_1,0,999,999,87.05999756,,0,63.93227628,0.55867756,,,0,0,0,0,2,4,10,20,40,
C24,22,C24,,,TRUE,2443.859649,2444,51,amze_unnamedsesq_1,0,999,999,89.13999939,,0,61.72383719,0.548701175,,,0,0,0,0,2,4,10,20,40,
C23,18,C23,,,TRUE,2341.935484,2342,74,amze_unnamedsesq_1,0,999,999,93.37999725,,0,59.40116849,0.548701175,,,0,0,0,0,2,4,10,20,40,
C22,11,C22,,,TRUE,2238.709677,2239,73,amze_unnamedsesq_1,0,999,999,91.58000183,,0,56.96427018,0.53872479,,,0,0,0,0,2,4,10,20,40,
C21,8,C21,,,TRUE,2137.777778,2138,72,amze_unnamedsesq_1,0,999,999,87.43000031,,0,54.4512188,0.51877202,,,0,0,0,0,2,4,10,20,40,
C20,10,C20,,,TRUE,2034.074074,2034,71,amze_unnamedsesq_1,0,999,999,93.36000061,,0,51.78586128,0.51877202,,,0,0,0,0,2,4,10,20,40,
C19,13,C19,,,TRUE,1934.228188,1934,70,amze_unnamedsesq_1,0,999,999,93.30000305,,0,49.04435068,0.508795635,,,0,0,0,0,2,4,10,20,40,
C18,20,C18,,,TRUE,1830.872483,1831,69,amze_unnamedsesq_1,0,999,999,90.75,,0,46.1124574,0.49881925,,,0,0,0,0,2,4,10,20,40,
