BlobID,Description,Compound Name,LRI I,Library RI,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
968,,"blob376_g48_Oxalic acid, allyl hexadecyl ester",,1797.0,,false,0,51.08336369250086,3.5099995437000593,3756.0,200620.0,caice_voc_g48,698,C21H38O4,149,354,,
365,,"blob200_g48_3,5-Dimethyldodecane",1660.0,1472.0,,false,0,46.08336434250078,0.9899998713000168,14809.0,197464.0,caice_voc_g48,797,C14H30,89,198,,
876,,"blob537_g48_Benzoic acid, 2-(1-oxopropyl)-",871.1864406779661,870.0,,false,0,16.833368145000286,3.669999522900062,4226.0,197239.0,caice_voc_g48,833,C10H10O3,144,178,,
563,,blob474_g48_1-Octadecanesulphonyl chloride,1709.090909090909,1709.0,,false,0,47.5000308250008,1.76999976990003,7189.0,196468.0,caice_voc_g48,732,C18H37ClO2S,223,352,,
748,,"blob426_g48_2-Propenoic acid, 2-methyl-, 2-aminoethyl ester, hydrochloride",1516.2162162162163,1516.0,,false,0,41.7500315725007,2.93999961780005,5018.0,195551.0,caice_voc_g48,801,C6H11NO2,198,129,,
1039,,blob536_g48_Biphenyl_CAICE_vocstand_incomplete,1870.3651144770865,1449.0,,false,0,39.58336518750067,1.419999815400024,3366.0,193573.0,caice_voc_g48,803,-,10,0,,
723,,"blob465_g48_Oxalic acid, allyl hexadecyl ester",,1733.0,,false,0,53.833363335000904,2.3599996932000398,5362.0,193403.0,caice_voc_g48,733,C21H38O4,269,354,,
670,,"blob450_g48_1,3-Dioxolane, 4-methyl-2-pentyl-",820.3389830508474,812.0,,false,0,14.333368470000242,2.2299997101000377,5776.0,191485.0,caice_voc_g48,859,C9H18O2,260,158,,
679,,blob434_g48_1-Iodo-2-methylundecane,1637.142857142857,1637.0,,false,0,45.41669776250077,1.0199998674000172,5728.0,191158.0,caice_voc_g48,829,C12H25I,129,296,,
635,,blob358_g48_Methyl Isobutyl Ketone,,,,false,0,12.833368665000217,2.2199997114000376,6297.0,190738.0,caice_voc_g48,836,C6H12O,130,100,,
507,,"blob153_g48_1,10-Dicyanodecane",1165.9574468085107,1166.0,,false,0,29.583366487500502,3.5599995372000603,7958.0,189714.0,caice_voc_g48,851,C12H20N2,68,192,,
372,,"blob300_g48_Cyclopentane, 1-hexyl-3-methyl-",1962.9563930963595,1436.0,,false,0,39.16669857500066,1.1699998479000198,14738.0,189340.0,caice_voc_g48,861,C12H24,256,168,,
683,,"blob539_g48_4,6-di-tert-Butyl-m-cresol",1572.9729729729731,1570.0,,false,0,43.500031345000735,5.0099993487000845,5510.0,188556.0,caice_voc_g48,767,C15H24O,173,220,,
630,,"blob321_g48_Sulfurous acid, butyl 2-ethylhexyl ester",1660.0,1660.0,,false,0,46.08336434250078,1.129999853100019,6501.0,186700.0,caice_voc_g48,805,C12H26O3S,209,250,,
420,,"blob215_g48_Nonane, 3,7-dimethyl-",,,,false,0,50.25003046750085,1.1399998518000194,10581.0,184817.0,caice_voc_g48,804,C11H24,137,156,,
625,,"blob705_g48_Pentanoic acid, 10-undecenyl ester",1602.857142857143,1663.0,,false,0,44.41669789250075,1.3499998245000229,6389.0,184311.0,caice_voc_g48,779,C16H30O2,363,254,,
368,,"blob131_g48_3-Eicosene, (E)-",1592.6856732207107,1697.0,,false,0,36.250032287500616,1.0399998648000177,14693.0,183519.0,caice_voc_g48,835,C20H40,58,280,,
396,,blob610_g48_Isopropyl myristate,1660.0,,,false,0,46.08336434250078,1.6999997790000287,12359.0,182680.0,caice_voc_g48,647,C17H34O2,285,270,,
366,,"blob242_g48_Octane, 2,3,6,7-tetramethyl-",1460.977120271391,1327.0,,false,0,35.5000323850006,0.829999892100014,14805.0,181285.0,caice_voc_g48,895,C12H26,230,170,,
752,,"blob441_g48_Phthalic acid, ethyl pentyl ester",1703.030303030303,1703.0,,false,0,47.3333641800008,3.129999593100053,5084.0,181060.0,caice_voc_g48,742,C15H20O4,283,264,,
696,,"blob208_g48_Cyclobutene, 2-propenylidene-",,,,false,0,12.91670198750022,2.6999996490000457,5479.0,180926.0,caice_voc_g48,880,C7H8,77,92,,
578,,blob192_g48_1-Iodo-2-methylundecane,,1724.0,,false,0,54.25002994750092,2.0499997335000346,7128.0,180703.0,caice_voc_g48,760,C12H25I,85,296,,
651,,"blob233_g48_Heptanenitrile, 7-oxo-",958.1818181818181,958.0,,false,0,20.916700947500356,4.059999472200069,6037.0,180338.0,caice_voc_g48,813,C7H11NO,115,125,,
336,,"blob193_g48_Undecane, 3-methyl-",1172.3404255319147,1172.0,,false,0,29.833366455000505,0.8399998908000142,17292.0,179877.0,caice_voc_g48,879,C12H26,143,170,,
942,,"blob278_g48_Octane, 6-ethyl-2-methyl-",,1451.0,,false,0,54.750029882500925,1.2699998349000214,4044.0,179581.0,caice_voc_g48,700,C11H24,127,156,,
927,,"blob632_g48_Octadecane, 6-methyl-",,,,false,0,51.666696950000876,1.1099998557000188,3913.0,178049.0,caice_voc_g48,682,C19H40,368,268,,
455,,"blob422_g48_Cyclopentane, 1-hexyl-3-methyl-",1642.857142857143,1643.0,,false,0,45.58336440750077,1.2599998362000213,9303.0,176315.0,caice_voc_g48,837,C12H24,278,168,,
575,,"blob131_g48_3-Eicosene, (E)-",1757.5757575757575,1697.0,,false,0,48.83336398500082,1.1999998440000204,6990.0,175980.0,caice_voc_g48,787,C20H40,58,280,,
605,,"blob310_g48_Decane, 2,5,9-trimethyl-",1944.4381373725046,1413.0,,false,0,39.25003189750066,0.949999876500016,6742.0,175871.0,caice_voc_g48,807,C13H28,159,184,,
343,,"blob176_g48_Sulfurous acid, 2-ethylhexyl isohexyl ester",1518.518255723855,1497.0,,false,0,41.166698315000694,0.829999892100014,16483.0,175269.0,caice_voc_g48,854,C14H30O3S,128,278,,
636,,"blob376_g48_Oxalic acid, allyl hexadecyl ester",1724.2424242424242,1797.0,,false,0,47.91669743750081,1.1799998466000199,6272.0,175001.0,caice_voc_g48,763,C21H38O4,149,354,,
1119,,"blob326_g48_Dodecane, 2-methyl-",1165.9574468085107,1266.0,,false,0,29.583366487500502,5.209999322700089,2980.0,173144.0,caice_voc_g48,636,C13H28,188,184,,
490,,"blob244_g48_Cyclobutene, 2-propenylidene-",1187.2340425531916,1187.0,,false,0,30.416699712500517,2.1999997140000374,8433.0,172465.0,caice_voc_g48,849,C7H8,152,92,,
462,,"blob256_g48_Decane, 2,5,9-trimethyl-",1400.0,1485.0,,false,0,38.00003206000064,1.6899997803000286,9271.0,172103.0,caice_voc_g48,866,C13H28,218,184,,
