BlobID,Description,Compound Name,LRI I,Library RI,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
352,,blob186_g48_4-Trifluoroacetoxyhexadecane,1562.162162,1581,,FALSE,0,43.16669806,1.129999853,16185,252441,caice_voc_g48,803,C18H33F3O2,131,338,,
354,,"blob194_g48_1,4-Undecadiene, (E)-",1140.425532,1140,,FALSE,0,28.58336662,1.30999983,15537,224971,caice_voc_g48,830,C11H20,145,152,,
356,,blob351_g48_3-Methylheptyl acetate,1187.234043,1187,,FALSE,0,30.41669971,1.799999766,15333,259807,caice_voc_g48,854,C10H20O2,235,172,,
357,,blob220_g48_1-Iodo-2-methylundecane,,1689,,FALSE,0,52.83336347,2.109999726,15243,2748986,caice_voc_g48,773,C12H25I,109,296,,
359,,"blob207_g48_2-Undecanethiol, 2-methyl-",1090,1111,,FALSE,0,26.58336688,0.859999888,15115,598818,caice_voc_g48,838,C12H26S,80,202,,
360,,"blob256_g48_Decane, 2,5,9-trimethyl-",1611.109534,1485,,FALSE,0,40.7500317,0.929999879,15340,213943,caice_voc_g48,887,C13H28,218,184,,
361,,"blob322_g48_Benzene, (1-butylheptyl)-",1660,1660,,FALSE,0,46.08336434,1.799999766,14900,264454,caice_voc_g48,759,C17H28,193,232,,
365,,"blob200_g48_3,5-Dimethyldodecane",1660,1472,,FALSE,0,46.08336434,0.989999871,14809,197464,caice_voc_g48,797,C14H30,89,198,,
366,,"blob242_g48_Octane, 2,3,6,7-tetramethyl-",1460.97712,1327,,FALSE,0,35.50003239,0.829999892,14805,181285,caice_voc_g48,895,C12H26,230,170,,
367,,"blob176_g48_Sulfurous acid, 2-ethylhexyl isohexyl ester",1543.243243,1497,,FALSE,0,42.5833648,0.879999886,15178,154995,caice_voc_g48,847,C14H30O3S,128,278,,
368,,"blob131_g48_3-Eicosene, (E)-",1592.685673,1697,,FALSE,0,36.25003229,1.039999865,14693,183519,caice_voc_g48,835,C20H40,58,280,,
369,,"blob176_g48_Sulfurous acid, 2-ethylhexyl isohexyl ester",1281.818182,1497,,FALSE,0,33.91669926,0.779999899,14840,162253,caice_voc_g48,845,C14H30O3S,128,278,,
370,,"blob301_g48_Cyclotrisiloxane, hexamethyl-",825.4237288,,,FALSE,0,14.58336844,1.109999856,14163,401273,caice_voc_g48,858,C6H18O3Si3,120,222,,
371,,blob333_g48_2-Ethylhexanal,998.1818182,998,,FALSE,0,22.75003404,1.839999761,14307,252156,caice_voc_g48,830,C8H16O,214,128,,
372,,"blob300_g48_Cyclopentane, 1-hexyl-3-methyl-",1962.956393,1436,,FALSE,0,39.16669858,1.169999848,14738,189340,caice_voc_g48,861,C12H24,256,168,,
373,,"blob156_g48_Dodecane, 2,7,10-trimethyl-",1796.292092,1337,,FALSE,0,39.91669848,0.959999875,14470,148427,caice_voc_g48,835,C15H32,118,212,,
374,,"blob197_g48_Octane, 2,3,3-trimethyl-",1086,1086,,FALSE,0,26.41670023,0.809999895,14289,124166,caice_voc_g48,864,C11H24,160,156,,
375,,"blob301_g48_Cyclotrisiloxane, hexamethyl-",825.4237288,,,FALSE,0,14.58336844,1.07999986,13753,126760,caice_voc_g48,863,C6H18O3Si3,120,222,,
377,,blob23_g48_1-chloro octane_CAICE_vocstand_incomplete,1090,1090,,FALSE,0,26.58336688,1.599999792,13791,220659,caice_voc_g48,871,-,1,0,,
380,,"blob11_g48_Cyclotrisiloxane, hexamethyl-",825.4237288,828,,FALSE,0,14.58336844,0.939999878,13466,338955,caice_voc_g48,877,C6H18O3Si3,17,222,,
382,,"blob131_g48_3-Eicosene, (E)-",1529.72973,1697,,FALSE,0,42.16669819,1.109999856,13510,211057,caice_voc_g48,836,C20H40,58,280,,
383,,"blob207_g48_2-Undecanethiol, 2-methyl-",1112.765957,1111,,FALSE,0,27.50003343,0.899999883,13541,598705,caice_voc_g48,853,C12H26S,80,202,,
384,,blob190_g48_trans-2-Undecen-1-ol,1450.001597,1773,,FALSE,0,38.08336538,1.289999832,13115,459173,caice_voc_g48,756,C11H22O,110,170,,
385,,"blob200_g48_3,5-Dimethyldodecane",1662.857143,1472,,FALSE,0,46.16669767,1.029999866,13079,316709,caice_voc_g48,829,C14H30,89,198,,
387,,"blob301_g48_Cyclotrisiloxane, hexamethyl-",825.4237288,,,FALSE,0,14.58336844,0.989999871,12877,90609,caice_voc_g48,866,C6H18O3Si3,120,222,,
388,,"blob436_g48_2,3-Pentanedione, 4-methyl-",,,,FALSE,0,12.5833687,2.779999639,12852,505180,caice_voc_g48,849,C6H10O2,185,114,,
390,,"blob85_g48_Cyclopropane, nonyl-",1293.181818,1298,,FALSE,0,34.33336587,1.029999866,12946,148689,caice_voc_g48,860,C12H24,69,168,,
391,,"blob123_g48_Cyclopentene, 1-ethenyl-3-methylene-",894.9152542,922,,FALSE,0,18.00003466,2.569999666,12517,304730,caice_voc_g48,910,C8H10,49,106,,
392,,"blob77_g48_Tetrasiloxane, decamethyl-",1064,1064,,FALSE,0,25.50003369,0.53999993,13429,86622,caice_voc_g48,881,C10H30O3Si4,52,310,,
394,,"blob184_g48_Cyclotetrasiloxane, octamethyl-",985.4545455,991,,FALSE,0,22.16670079,0.589999923,12989,112671,caice_voc_g48,862,C8H24O4Si4,83,296,,
395,,"blob131_g48_3-Eicosene, (E)-",1796.969697,1697,,FALSE,0,49.91669718,1.269999835,12500,426028,caice_voc_g48,833,C20H40,58,280,,
