BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response
112,,"blob195_g48_3-Hexanone, 2,5-dimethyl-4-nitro-",,FALSE,0,46.25007375,1.919999616,217230,2714004,caice_voc_g48,848,C8H15NO3,101,173,1663,,
113,,"blob257_g48_Sulfurous acid, butyl nonyl ester",,FALSE,0,25.16674463,0.819999836,226123,2866529,caice_voc_g48,809,C13H28O3S,177,264,1056,,
114,,blob32_g48_Cetene,,FALSE,0,43.83340757,1.09999978,213096,2849262,caice_voc_g48,829,C16H32,41,224,1597,,
115,,"blob29_g48_Phenol, 3,5-bis(1,1-dimethylethyl)-",,FALSE,0,44.75007405,3.379999324,194396,4485750,caice_voc_g48,947,C14H22O,31,206,1611,,
116,,blob192_g48_1-Iodo-2-methylundecane,,FALSE,0,48.0000734,0.9999998,204357,5149228,caice_voc_g48,801,C12H25I,85,296,1724,,
117,,"blob179_g48_Decane, 2,5,9-trimethyl-",,FALSE,0,27.41674418,0.759999848,197532,3251179,caice_voc_g48,827,C13H28,61,184,1117,,
118,,"blob162_g48_Decane, 2,5,9-trimethyl-",,FALSE,0,25.91674448,0.69999986,206940,1248651,caice_voc_g48,886,C13H28,75,184,1066,,
119,,blob20_g48_1-Decene,,FALSE,0,22.5000785,0.859999828,200722,1211193,caice_voc_g48,775,C10H20,32,140,996,,
123,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,45.83340717,1.139999772,175462,3132605,caice_voc_g48,769,C18H36,247,252,,,
124,,blob82_g48_cis-2-Nonene,,FALSE,0,18.08341272,0.839999832,190264,1791227,caice_voc_g48,939,C9H18,44,126,897,,
125,,blob229_g48_1-Iodo-2-methylundecane,,FALSE,0,36.91674228,0.859999828,187793,2064623,caice_voc_g48,795,C12H25I,138,296,,,
126,,blob621_g48_1-Methyl-2-phenylcyclopropane,,FALSE,0,28.33341067,3.139999372,173424,1604883,caice_voc_g48,787,C10H12,288,132,1126,,
127,,"blob250_g48_Oxalic acid, isohexyl neopentyl ester",,FALSE,0,34.5000761,0.79999984,177408,1453607,caice_voc_g48,812,C13H24O4,243,244,1282,,
128,,blob318_g48_1-Hexadecanol,,FALSE,0,24.66674473,0.919999816,181261,1103529,caice_voc_g48,735,C16H34O,172,242,,,
129,,"blob198_g48_Undecane, 5-methyl-",,FALSE,0,29.33341047,0.779999844,186481,1442809,caice_voc_g48,860,C12H26,142,170,1157,,
130,,blob192_g48_1-Iodo-2-methylundecane,,FALSE,0,48.33340667,1.019999796,169613,2944342,caice_voc_g48,794,C12H25I,85,296,1724,,
131,,"blob335_g48_Tetradecane, 1-iodo-",,FALSE,0,47.66674013,0.839999832,172917,1624704,caice_voc_g48,794,C14H29I,238,324,1712,,
133,,"blob291_g48_Decane, 2,2,5-trimethyl-",,FALSE,0,19.66674573,0.619999876,175975,1072104,caice_voc_g48,839,C13H28,277,184,929,,
135,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,49.41673978,0.979999804,158807,1800861,caice_voc_g48,754,C21H44,208,296,,,
138,,C8,,TRUE,0,13.33341367,0.619999876,166016,881597,-,-1,-,-1,-1,,,
140,,"blob85_g48_Cyclopropane, nonyl-",,FALSE,0,34.41674278,0.939999812,163052,877515,caice_voc_g48,845,C12H24,69,168,1298,,
143,,"blob268_g48_3,5-Di-tert-butylbenzoic acid",,FALSE,0,48.66673993,2.879999424,147723,1944218,caice_voc_g48,418,C15H22O2,95,234,,,
145,,"blob438_g48_Decane, 2,5,9-trimethyl-",,FALSE,0,31.58341002,0.779999844,167397,1427852,caice_voc_g48,784,C13H28,327,184,1216,,
146,,"blob464_g48_Oxalic acid, butyl cyclohexylmethyl ester",,FALSE,0,50.33340627,1.439999712,157621,1222541,caice_voc_g48,768,C13H22O4,225,242,,,
147,,"blob322_g48_Benzene, (1-butylheptyl)-",,FALSE,0,46.16674043,1.759999648,153157,1877245,caice_voc_g48,807,C17H28,193,232,1660,,
148,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,46.66674033,0.9999998,145467,2577118,caice_voc_g48,781,C21H44,208,296,,,
